"R0000100","R0536300","R0536401","R1210700","U4329700","U4330000","U4336100","U4336200","U4336300","U4337600","U4337700","U4337800","U4337900","U4338800","U4338900","U4339000","U4339100"
193,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
194,2,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
195,1,1,90,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
196,1,4,-3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
197,2,12,87,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
198,2,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
199,1,6,84,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
200,1,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
201,2,12,96,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
202,1,1,79,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
203,2,1,84,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
204,2,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
205,2,11,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
206,1,2,47,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
207,2,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
208,2,3,96,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
209,1,6,21,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
210,1,5,21,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
211,2,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
212,1,2,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
213,2,4,86,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
214,2,11,53,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
215,1,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
216,2,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
217,2,11,30,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
218,1,9,13,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
219,1,3,84,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
220,1,3,88,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
221,2,9,39,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
222,1,1,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
223,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
224,2,10,14,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
225,1,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
226,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
227,2,1,21,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
228,1,1,34,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
