"E8033100","R0000100","R0536300","R0536401","R0536402","R1210700","R1235800","R1482600","R9829600","U4282400"
0,494,2,3,1983,-3,1,2,-4,-5
0,495,1,12,1984,-3,1,2,-4,5
0,496,1,7,1984,47,1,2,-4,-4
0,497,2,4,1981,-4,1,3,-4,-5
0,498,2,5,1980,-4,1,4,-4,-4
0,499,2,8,1982,70,1,2,-4,-5
0,500,1,3,1982,70,1,4,54409,-4
0,501,1,9,1982,68,1,4,8218,-4
0,502,1,9,1983,82,1,4,66987,-4
0,503,1,12,1981,61,1,4,52227,-4
2,504,2,7,1984,5,1,4,19388,-5
1,505,1,8,1984,47,1,2,78650,-5
0,506,1,9,1982,34,1,4,69845,-4
0,507,2,8,1984,45,1,4,9152,-4
3,508,1,8,1981,-4,1,2,20532,-4
0,509,2,8,1984,50,1,1,27912,-4
3,510,1,5,1980,-4,1,2,-4,-4
1,511,1,1,1980,-4,1,2,19706,-4
0,512,2,3,1981,14,1,2,-4,-4
2,513,1,5,1982,7,1,2,-4,-4
0,514,2,2,1981,53,1,2,-5,-4
0,515,2,3,1983,7,1,2,14734,-4
1,516,1,3,1983,5,1,2,7873,-4
0,517,1,9,1981,9,1,2,-4,-4
0,518,2,11,1983,4,1,2,-4,-4
0,519,2,6,1980,-4,1,2,-4,-4
2,520,1,10,1981,-4,1,2,-4,-4
2,521,1,7,1983,-3,1,2,-4,-4
4,522,1,1,1983,3,1,2,15606,-4
4,523,2,5,1980,-4,1,4,32067,-4
2,524,1,8,1981,77,1,2,29740,-4
1,525,1,4,1982,-3,1,2,-4,-4
6,526,1,11,1983,-3,1,2,-4,-4
0,527,1,12,1981,90,1,4,93560,-4
0,528,2,9,1982,63,1,4,55307,-4
0,529,2,4,1982,88,1,2,90458,5
0,530,2,9,1982,-3,1,4,-4,-4
0,531,2,4,1980,-4,1,2,-5,-4
0,532,2,1,1983,68,1,2,-5,-5
0,533,2,1,1983,86,1,4,62007,-5
0,534,2,11,1981,-4,1,2,24444,-4
0,535,2,5,1980,-4,1,4,72473,-4
0,536,1,12,1982,13,1,2,26653,-4
0,537,1,2,1982,42,1,4,5305,-4
1,538,2,8,1983,5,1,4,15014,-4
0,539,1,6,1980,-4,1,2,-5,-4
0,540,2,2,1982,81,1,2,-4,-4
0,541,2,2,1982,-4,1,2,-4,-4
0,542,2,2,1984,84,1,1,77604,-4
0,543,1,10,1983,82,1,2,61988,-4
0,544,1,2,1981,-4,1,4,95302,-4
2,545,1,8,1981,-4,1,1,45886,-4
1,546,1,6,1980,-4,1,4,92687,-4
1,547,1,1,1984,99,1,4,91290,-4
0,548,2,11,1984,90,1,4,65106,-4
1,549,1,12,1981,84,1,4,-4,-4
0,550,1,2,1984,98,1,4,99648,-5
0,551,1,12,1981,90,1,4,91323,-4
0,552,1,11,1981,77,1,4,67641,-5
0,553,1,9,1983,42,1,4,18347,-5
